customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit
103,"Atelier graphique",Schmitt,"Carine ",40.32.2555,"54, rue Royale",NULL,Nantes,NULL,44000,France,1370,21000.00
119,"La Rochelle Gifts",Labrune,"Janine ",40.67.8555,"67, rue des Cinquante Otages",NULL,Nantes,NULL,44000,France,1370,118200.00
146,"Saveley & Henriot, Co.",Saveley,"Mary ",78.32.5555,"2, rue du Commerce",NULL,Lyon,NULL,69004,France,1337,123900.00
171,"Daedalus Designs Imports",Rancé,"Martine ",20.16.1555,"184, chaussée de Tournai",NULL,Lille,NULL,59000,France,1370,82900.00
172,"La Corne D'abondance, Co.",Bertrand,Marie,"(1) 42.34.2555","265, boulevard Charonne",NULL,Paris,NULL,75012,France,1337,84300.00
209,"Mini Caravy",Citeaux,"Frédérique ",88.60.1555,"24, place Kléber",NULL,Strasbourg,NULL,67000,France,1370,53800.00
242,"Alpha Cognac",Roulet,"Annette ",61.77.6555,"1 rue Alsace-Lorraine",NULL,Toulouse,NULL,31000,France,1370,61100.00
250,"Lyon Souveniers","Da Silva",Daniel,"+33 1 46 62 7555","27 rue du Colonel Pierre Avia",NULL,Paris,NULL,75508,France,1337,68100.00
256,"Auto Associés & Cie.",Tonini,"Daniel ",30.59.8555,"67, avenue de l'Europe",NULL,Versailles,NULL,78000,France,1370,77900.00
350,"Marseille Mini Autos",Lebihan,"Laurence ",91.24.4555,"12, rue des Bouchers",NULL,Marseille,NULL,13008,France,1337,65000.00
353,"Reims Collectables",Henriot,"Paul ",26.47.1555,"59 rue de l'Abbaye",NULL,Reims,NULL,51100,France,1337,81100.00
406,"Auto Canal+ Petit",Perrier,Dominique,"(1) 47.55.6555","25, rue Lauriston",NULL,Paris,NULL,75016,France,1337,95000.00
